365	0	0	4	0
-0.329166666667	1	1	20	11
-0.379166666667	2	1	20	11
-5.09583333333	3	1	20	11
1.675	4	1	20	11
1.37916666667	5	1	20	11
-0.195833333333	6	1	20	11
1.2625	7	1	20	11
-0.279166666667	8	1	20	11
-1.025	9	1	20	11
-1.30833333333	10	1	20	11
-3.62083333333	11	1	20	11
0.345833333333	12	1	20	11
-0.0375	13	1	20	11
-3.42916666667	14	1	20	11
-4.50833333333	15	1	20	11
-4.15416666667	16	1	20	11
-0.483333333333	17	1	20	11
-0.00416666666667	18	1	20	11
1.5875	19	1	20	11
3.87916666667	20	1	20	11
7.375	21	1	20	11
6.98333333333	22	1	20	11
6.425	23	1	20	11
8.63333333333	24	1	20	11
3.175	25	1	20	11
7.96666666667	26	1	20	11
8.3	27	1	20	11
9.6875	28	1	20	11
8.88333333333	29	1	20	11
0.416666666667	30	1	20	11
0.3875	31	1	20	11
-0.4125	1	2	20	11
-2.32916666667	2	2	20	11
-5.67083333333	3	2	20	11
-4.75416666667	4	2	20	11
0.4375	5	2	20	11
8.65	6	2	20	11
8.82916666667	7	2	20	11
9.34583333333	8	2	20	11
1.03333333333	9	2	20	11
0.0458333333333	10	2	20	11
-0.0958333333333	11	2	20	11
-2.77083333333	12	2	20	11
2.29166666667	13	2	20	11
3.775	14	2	20	11
1.75	15	2	20	11
0.145833333333	16	2	20	11
3.08333333333	17	2	20	11
2.56666666667	18	2	20	11
1.9	19	2	20	11
0.866666666667	20	2	20	11
-0.658333333333	21	2	20	11
-1.10416666667	22	2	20	11
1.74583333333	23	2	20	11
2.56666666667	24	2	20	11
2.50833333333	25	2	20	11
4.275	26	2	20	11
4.52916666667	27	2	20	11
9.9625	28	2	20	11
1.975	1	3	20	11
2.92916666667	2	3	20	11
7.52916666667	3	3	20	11
12.6208333333	4	3	20	11
4.425	5	3	20	11
2.7375	6	3	20	11
6.40416666667	7	3	20	11
4.3125	8	3	20	11
-0.470833333333	9	3	20	11
0.529166666667	10	3	20	11
-0.145833333333	11	3	20	11
-1.175	12	3	20	11
1.82083333333	13	3	20	11
4.6	14	3	20	11
2.49166666667	15	3	20	11
5.30416666667	16	3	20	11
7.95416666667	17	3	20	11
7.4875	18	3	20	11
3.44166666667	19	3	20	11
2.25416666667	20	3	20	11
-0.754166666667	21	3	20	11
1.29583333333	22	3	20	11
6.42083333333	23	3	20	11
10.2375	24	3	20	11
9.88333333333	25	3	20	11
5.55833333333	26	3	20	11
8.04583333333	27	3	20	11
7.89166666667	28	3	20	11
5.01666666667	29	3	20	11
5.04166666667	30	3	20	11
8.8875	31	3	20	11
9.93333333333	1	4	20	11
8.84583333333	2	4	20	11
7.95833333333	3	4	20	11
3.80416666667	4	4	20	11
3.2	5	4	20	11
3.1	6	4	20	11
2.65833333333	7	4	20	11
7.76666666667	8	4	20	11
5.07916666667	9	4	20	11
